,InvoiceNo,Quantity,CustomerID,TotalSum,CohortMonth,CohortIndex
0,572558,6,14286.0,12.600000000000001,2011-04,7
1,577485,1,16360.0,1.45,2011-09,3
2,560034,6,13933.0,22.5,2011-07,1
3,578307,1,17290.0,2.1,2011-11,1
4,554656,3,17663.0,17.85,2011-02,4
5,547051,12,12902.0,5.04,2011-03,1
6,577493,10,17323.0,8.5,2011-02,10
7,575143,10,13643.0,20.8,2011-09,3
8,547223,2,12867.0,5.9,2010-12,4
9,553156,2,17841.0,1.1,2010-12,6
10,552418,24,13971.0,30.0,2011-02,4
11,574444,2,18122.0,5.9,2011-07,5
12,554079,1,14546.0,7.9,2011-04,2
13,556475,6,18109.0,17.700000000000003,2010-12,7
14,567905,6,12952.0,12.48,2011-09,1
15,567474,2,13448.0,2.9,2010-12,10
16,572866,1,15005.0,1.65,2010-12,11
17,564060,1,17073.0,2.08,2011-08,1
18,560547,8,17419.0,13.52,2010-12,8
19,565198,4,16729.0,15.0,2011-04,6
20,557311,2,15700.0,5.9,2011-06,1
21,546182,6,14334.0,9.899999999999999,2010-12,4
22,563198,18,15270.0,76.5,2011-02,7
23,544467,3,14502.0,4.949999999999999,2011-01,2
24,571457,4,12963.0,17.0,2010-12,11
25,536673,36,14060.0,15.12,2010-12,1
26,562688,2,13869.0,7.5,2010-12,9
27,537614,7,16904.0,14.700000000000001,2010-12,1
28,579712,6,15467.0,5.1,2011-07,5
29,540357,20,13093.0,33.0,2010-12,2
30,562129,4,13186.0,10.2,2011-08,1
31,552905,12,15974.0,11.399999999999999,2011-02,4
32,570648,24,16086.0,30.0,2010-12,11
33,566601,1,16469.0,1.25,2011-04,6
34,561113,1,17841.0,2.1,2010-12,8
35,550157,2,16393.0,2.9,2010-12,5
36,574481,1,18022.0,4.95,2011-11,1
37,575905,24,13732.0,30.0,2011-11,1
38,551527,2,14395.0,17.9,2010-12,6
39,578790,20,14966.0,16.4,2011-11,1
40,570634,3,15024.0,17.85,2010-12,11
41,555556,1,15704.0,3.75,2011-05,2
42,537765,1,14606.0,5.95,2010-12,1
43,564144,48,13939.0,13.919999999999998,2011-02,7
44,551028,2,13842.0,15.9,2010-12,5
45,573264,3,14415.0,6.24,2010-12,11
46,581164,5,14395.0,3.25,2010-12,13
47,542619,6,13869.0,3.9000000000000004,2010-12,2
48,577516,1,16533.0,2.95,2011-10,2
49,539249,6,14709.0,12.600000000000001,2010-12,1
50,568539,12,13016.0,34.68,2011-08,2
51,541684,8,15498.0,13.2,2010-12,2
52,547253,3,13869.0,7.6499999999999995,2010-12,4
53,542398,1,13174.0,3.25,2010-12,2
54,577218,48,13117.0,18.72,2010-12,12
55,563764,1,14606.0,3.75,2010-12,9
56,571158,1,14606.0,1.65,2010-12,11
57,575367,48,15114.0,18.72,2011-02,10
58,558049,1,15850.0,2.08,2011-06,1
59,576339,3,14096.0,3.75,2011-08,4
60,551414,10,15622.0,12.5,2011-03,2
61,578834,8,18109.0,6.64,2010-12,12
62,536859,14,12841.0,41.300000000000004,2010-12,1
63,563532,192,17511.0,105.60000000000001,2010-12,9
64,541660,1,17787.0,2.1,2010-12,2
65,566912,12,14367.0,24.96,2011-03,7
66,556021,8,12921.0,13.52,2010-12,7
67,573576,5,14096.0,53.949999999999996,2011-08,3
68,543984,12,15601.0,15.0,2010-12,3
69,566735,1,15707.0,1.65,2011-09,1
70,573405,1,13822.0,1.65,2011-10,1
71,545057,12,13630.0,23.4,2011-02,1
72,574476,1,17203.0,2.08,2011-10,2
73,579430,2,12748.0,9.9,2010-12,12
74,561643,24,15939.0,34.8,2011-01,7
75,577504,4,14159.0,1.56,2010-12,12
76,553002,2,13263.0,1.7,2011-01,5
77,553942,2,18055.0,13.5,2010-12,6
78,581450,5,16794.0,9.75,2011-06,7
79,540257,12,12748.0,35.400000000000006,2010-12,2
80,571214,2,14390.0,16.5,2010-12,11
81,566599,3,15998.0,3.75,2010-12,10
82,577506,3,13212.0,6.300000000000001,2011-10,2
83,572101,24,16705.0,39.599999999999994,2010-12,11
84,570428,2,15553.0,5.9,2011-10,1
85,548267,16,16954.0,63.2,2010-12,4
86,553419,12,16639.0,59.400000000000006,2011-04,2
87,542124,24,14248.0,10.08,2011-01,1
88,553384,1,16899.0,4.95,2010-12,6
89,576508,1,17777.0,1.25,2011-08,4
90,560581,144,12901.0,41.76,2011-03,5
91,581188,24,17735.0,18.96,2010-12,13
92,546426,2,13708.0,3.38,2011-03,1
93,567184,2,16033.0,2.5,2010-12,10
94,555348,1,15184.0,12.5,2011-06,1
95,568712,1,17841.0,1.65,2010-12,10
96,552285,1,14684.0,1.25,2010-12,6
97,544644,12,17002.0,35.400000000000006,2011-02,1
98,572066,24,15159.0,30.0,2010-12,11
99,544565,12,18055.0,10.2,2010-12,3
100,571033,24,14251.0,10.08,2011-10,1
101,560368,1,17841.0,2.08,2010-12,8
102,539053,2,16725.0,4.2,2010-12,1
103,572837,4,14754.0,16.6,2011-02,9
104,547374,1,16110.0,1.45,2011-02,2
105,541414,1,18212.0,2.55,2011-01,1
106,559989,4,13319.0,25.0,2010-12,8
107,567944,6,14562.0,10.14,2011-02,8
108,553781,5,16008.0,8.25,2011-05,1
109,561095,12,17040.0,15.0,2011-07,1
110,547568,12,13341.0,10.2,2011-03,1
111,570466,1,16791.0,1.65,2011-01,10
112,543474,6,14415.0,11.7,2010-12,3
113,566200,1,16910.0,0.83,2011-09,1
114,561043,1,15708.0,8.5,2010-12,8
115,567076,12,15505.0,9.0,2011-07,3
116,572552,4,14096.0,16.52,2011-08,3
117,578275,1,15916.0,6.75,2010-12,12
118,576300,1,15058.0,3.75,2011-01,11
119,568938,2,17220.0,3.38,2010-12,10
120,578270,1,14096.0,16.63,2011-08,4
121,540561,10,13004.0,8.5,2010-12,2
122,536769,10,17581.0,8.5,2010-12,1
123,555517,6,13131.0,15.299999999999999,2011-06,1
124,575918,5,17191.0,3.95,2010-12,12
125,574723,10,15150.0,20.8,2011-03,9
126,544791,2,14289.0,15.9,2011-02,1
127,549959,8,16097.0,20.4,2011-04,1
128,577550,48,17738.0,13.919999999999998,2011-03,9
129,565230,2,16705.0,17.0,2010-12,10
130,576538,12,14725.0,5.04,2011-11,1
