CustomerID,Recency,Frequency,MonetaryValue,Tenure,R,F
12747,3,25,948.7,362,3,3
12748,1,888,7046.159999999979,365,3,3
12749,4,37,813.4499999999998,214,3,3
12820,4,17,268.0200000000001,327,3,3
12822,71,9,146.15,88,2,2
12823,297,1,306.0,297,1,1
12824,60,6,106.38,60,2,2
12826,3,16,272.66,325,3,3
12827,33,2,44.55,45,2,1
12828,8,12,195.4,131,3,2
12829,337,2,95.8,361,1,1
12830,92,10,1727.92,172,1,2
12832,33,5,67.4,99,2,1
12833,146,5,87.0,146,1,1
12834,283,9,161.00000000000003,283,1,2
12836,60,34,585.53,312,2,3
12837,174,2,10.55,174,1,1
12838,34,17,62.11,34,2,3
12839,3,54,947.63,358,3,3
12840,144,19,459.66,227,1,3
12841,5,70,630.95,338,3,3
12842,71,8,224.54,309,2,2
12843,160,22,385.55,265,1,3
12844,30,7,38.05,131,2,2
12845,269,4,221.1,291,1,1
12847,23,14,123.20999999999998,23,3,2
12849,32,15,266.75,269,2,2
12851,97,13,29.570000000000004,97,1,2
12852,295,2,32.550000000000004,295,1,1
12853,135,12,234.48,316,1,2
12854,79,21,319.01,319,2,3
12856,8,64,402.48000000000013,64,3,3
12857,211,11,283.85,303,1,2
12863,53,1,34.8,53,2,1
12864,139,1,17.4,139,1,1
12867,27,105,749.2899999999997,361,3,3
12868,186,16,177.31000000000003,332,1,3
12871,85,5,70.74,208,2,1
12872,327,6,73.4,327,1,2
12873,283,1,102.0,283,1,1
12877,4,33,232.71,359,3,3
12878,237,8,174.3,267,1,2
12879,92,2,70.80000000000003,92,1,1
12883,25,10,186.18,90,3,2
12884,89,1,31.8,89,2,1
12885,64,20,361.47999999999985,124,2,3
12886,68,12,212.39,220,2,2
12890,25,13,53.87,25,3,2
12893,31,7,20.4,31,2,2
12895,43,6,107.65,87,2,2
12901,11,28,3647.06,261,3,3
12902,265,4,42.03,265,1,1
12904,19,15,64.55000000000001,173,3,2
12906,12,16,494.87000000000006,79,3,3
12909,88,19,624.2100000000003,254,2,3
12910,65,12,481.26,242,2,2
12912,9,3,162.36,41,3,1
12913,5,12,617.78,302,3,2
12915,149,2,35.9,149,1,1
12916,139,24,699.38,321,1,3
12919,9,6,133.74,170,3,2
12920,18,3,23.4,18,3,1
12921,10,115,2393.04,339,3,3
12922,162,4,57.24,162,1,1
12923,65,9,59.49999999999999,65,2,2
12924,89,6,220.83,276,2,2
12925,5,11,183.16000000000003,75,3,2
12928,36,15,366.8,360,2,2
12929,312,3,42.90000000000001,312,1,1
12930,79,6,97.51,172,2,2
12931,22,19,8490.64,358,3,3
12933,25,24,113.87,284,3,3
12935,3,26,406.1,320,3,3
12936,18,14,236.79,79,3,2
12937,16,31,393.43,268,3,3
12939,65,9,1680.6799999999996,299,2,2
12940,55,22,207.07,88,2,3
12942,132,14,80.92,198,1,2
12944,36,8,189.4,355,2,2
12945,289,5,129.10000000000002,289,1,1
12947,144,17,215.87,337,1,3
12948,45,23,372.78,265,2,3
12949,31,42,748.02,253,2,3
12950,3,4,471.6,25,3,1
12951,9,8,157.29999999999995,331,3,2
12952,6,18,291.27,79,3,3
12953,10,4,76.3,10,3,1
12955,2,32,875.5200000000003,268,3,3
12956,307,2,7.9,307,1,1
12957,10,50,814.7,340,3,3
12962,8,3,40.45,114,3,1
12963,9,13,257.62000000000006,54,3,2
12965,90,16,102.1,90,2,3
12966,10,3,42.5,10,3,1
12968,113,2,24.95,113,1,1
12970,8,30,72.78,323,3,3
12971,16,53,2082.69,358,3,3
12974,198,2,47.5,198,1,1
12976,212,5,203.68,212,1,1
12977,157,1,0.65,157,1,1
12980,188,7,2463.5399999999995,359,1,2
12981,30,4,84.47999999999998,134,2,1
12982,243,6,85.28999999999998,243,1,2
12984,19,1,19.8,19,3,1
12985,1,12,174.82,29,3,2
12987,74,3,45.4,198,2,1
12988,293,15,102.42,293,1,2
12989,4,13,976.8,299,3,2
12990,32,1,20.8,32,2,1
12991,24,4,77.7,113,3,1
12993,24,10,154.14999999999995,299,3,2
12994,5,15,212.45,269,3,2
12997,23,10,165.37999999999997,318,3,2
12999,206,2,21.9,246,1,1
13000,260,3,46.08,365,1,1
13001,5,67,2109.48,327,3,3
13002,319,2,24.95,319,1,1
13004,12,80,1044.6299999999997,358,3,3
13005,174,6,92.85,247,1,2
13006,57,3,77.00999999999998,57,2,1
13008,324,4,46.92,324,1,1
13012,10,19,418.92,295,3,3
13013,22,32,624.6,249,3,3
13014,11,26,680.6,282,3,3
13015,54,32,900.1499999999999,250,2,3
13016,74,10,184.11,124,2,2
13018,17,94,1483.6200000000006,296,3,3
13021,5,28,585.5,359,3,3
13023,65,10,181.49,130,2,2
13026,2,9,391.8,276,3,2
13027,114,5,1344.0,355,1,1
13028,23,10,160.20000000000005,46,3,2
13029,139,2,315.9,139,1,1
13030,12,4,60.93,12,3,1
13032,53,8,115.23,88,2,2
13033,358,3,55.05,358,1,1
13034,55,5,86.99999999999999,55,2,1
13035,74,6,262.70000000000005,261,2,2
