CustomerID,Recency,Frequency,MonetaryValue,Tenure,R,F,M,RFM_Segment,RFM_Score
12747,3,25,948.6999999999999,362,4,4,4,444,12.0
12748,1,888,7046.159999999979,365,4,4,4,444,12.0
12749,4,37,813.4499999999999,214,4,4,4,444,12.0
12820,4,17,268.0200000000001,327,4,3,3,433,10.0
12822,71,9,146.15,88,2,2,3,223,7.0
12823,297,1,306.0,297,1,1,3,113,5.0
12824,60,6,106.38000000000001,60,2,2,2,222,6.0
12826,3,16,272.66,325,4,3,3,433,10.0
12827,33,2,44.550000000000004,45,3,1,1,311,5.0
12828,8,12,195.4,131,4,3,3,433,10.0
12829,337,2,95.80000000000001,361,1,1,2,112,4.0
12830,92,10,1727.92,172,2,3,4,234,9.0
12832,33,5,67.4,99,3,2,2,322,7.0
12833,146,5,87.0,146,1,2,2,122,5.0
12834,283,9,161.00000000000003,283,1,2,3,123,6.0
12836,60,34,585.53,312,2,4,4,244,10.0
12837,174,2,10.55,174,1,1,1,111,3.0
12838,34,17,62.11,34,3,3,2,332,8.0
12839,3,54,947.6299999999999,358,4,4,4,444,12.0
12840,144,19,459.66,227,1,3,4,134,8.0
12841,5,70,630.95,338,4,4,4,444,12.0
12842,71,8,224.54000000000002,309,2,2,3,223,7.0
12843,160,22,385.55,265,1,4,4,144,9.0
12844,30,7,38.05,131,3,2,1,321,6.0
12845,269,4,221.1,291,1,1,3,113,5.0
12847,23,14,123.20999999999998,23,3,3,2,332,8.0
12849,32,15,266.75,269,3,3,3,333,9.0
12851,97,13,29.570000000000004,97,2,3,1,231,6.0
12852,295,2,32.550000000000004,295,1,1,1,111,3.0
12853,135,12,234.48000000000002,316,2,3,3,233,8.0
12854,79,21,319.01,319,2,3,3,233,8.0
12856,8,64,402.4800000000001,64,4,4,4,444,12.0
12857,211,11,283.85,303,1,3,3,133,7.0
12863,53,1,34.8,53,2,1,1,211,4.0
12864,139,1,17.4,139,2,1,1,211,4.0
12867,27,105,749.2899999999998,361,3,4,4,344,11.0
12868,186,16,177.31000000000003,332,1,3,3,133,7.0
12871,85,5,70.74,208,2,2,2,222,6.0
12872,327,6,73.4,327,1,2,2,122,5.0
12873,283,1,102.0,283,1,1,2,112,4.0
12877,4,33,232.71,359,4,4,3,443,11.0
12878,237,8,174.3,267,1,2,3,123,6.0
12879,92,2,70.80000000000001,92,2,1,2,212,5.0
12883,25,10,186.18,90,3,3,3,333,9.0
12884,89,1,31.8,89,2,1,1,211,4.0
12885,64,20,361.4799999999999,124,2,3,4,234,9.0
12886,68,12,212.39000000000001,220,2,3,3,233,8.0
12890,25,13,53.87,25,3,3,1,331,7.0
12893,31,7,20.4,31,3,2,1,321,6.0
12895,43,6,107.65,87,3,2,2,322,7.0
12901,11,28,3647.06,261,4,4,4,444,12.0
12902,265,4,42.03,265,1,1,1,111,3.0
12904,19,15,64.55000000000001,173,4,3,2,432,9.0
12906,12,16,494.87000000000006,79,4,3,4,434,11.0
12909,88,19,624.2100000000002,254,2,3,4,234,9.0
12910,65,12,481.26,242,2,3,4,234,9.0
12912,9,3,162.36,41,4,1,3,413,8.0
12913,5,12,617.78,302,4,3,4,434,11.0
12915,149,2,35.9,149,1,1,1,111,3.0
12916,139,24,699.38,321,2,4,4,244,10.0
12919,9,6,133.74,170,4,2,2,422,8.0
12920,18,3,23.4,18,4,1,1,411,6.0
12921,10,115,2393.04,339,4,4,4,444,12.0
12922,162,4,57.239999999999995,162,1,1,1,111,3.0
12923,65,9,59.49999999999999,65,2,2,2,222,6.0
12924,89,6,220.83,276,2,2,3,223,7.0
12925,5,11,183.16000000000003,75,4,3,3,433,10.0
12928,36,15,366.8,360,3,3,4,334,10.0
12929,312,3,42.900000000000006,312,1,1,1,111,3.0
